Date	Plot	Section	Buds	Flowers	Senescent	Larvae	Eaten	Field_remarks	General_remarks
1995-07-22	Dry2	A-D	49	166	30	0	0	No remarks	No remarks
1995-07-22	Dry5	A-D	0	0	325	0	0	No remarks	No remarks
1995-07-23	Dry1	A-D	2	1	429	0	0	No remarks	No remarks
1995-07-26	Dry6	A-D	8	116	25	0	0	No remarks	No remarks
1995-07-27	Dry4	A-D	0	0	281	0	0	No remarks	No remarks
1995-07-28	Dry1	A-D	0	0	199	0	0	No remarks	No remarks
1995-07-28	Dry2	A-D	4	47	126	0	0	No remarks	No remarks
1995-08-05	Dry2	A-D	0	1	100	0	0	No remarks	No remarks
1995-08-05	Dry6	A-D	2	15	179	0	0	No remarks	No remarks
1995-08-12	Dry6	A-D	0	0	179	0	0	No remarks	No remarks
1995-08-16	Dry3	A-D	0	0	603	0	0	No remarks	No remarks
1996-06-03	Dry1	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-03	Dry4	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-03	Dry5	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-03	Dry6	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-04	Dry3	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-10	Dry1	A-D	100	0	0	0	0	No remarks	No remarks
1996-06-10	Dry3	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-10	Dry4	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-10	Dry5	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-17	Dry1	A-D	136	54	0	0	1	No remarks	No remarks
1996-06-17	Dry3	A-D	10	0	0	0	0	No remarks	No remarks
1996-06-17	Dry4	A-D	18	1	0	0	0	No remarks	No remarks
1996-06-17	Dry5	A-D	16	0	0	0	0	No remarks	No remarks
1996-06-17	Dry6	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-24	Dry1	A-D	22	198	14	0	10	No remarks	No remarks
1996-06-24	Dry2	A-D	0	0	0	0	0	No remarks	No remarks
1996-06-24	Dry3	A-D	100	0	0	0	0	No remarks	No remarks
1996-06-24	Dry4	A-D	80	35	0	0	6	No remarks	No remarks
1996-06-24	Dry5	A-D	106	2	0	0	0	No remarks	No remarks
1996-06-24	Dry6	A-D	0	0	0	0	0	No remarks	No remarks
1996-07-01	Dry1	A-D	0	4	96	0	3	No remarks	No remarks
1996-07-01	Dry2	A-D	0	0	0	0	0	No remarks	No remarks
1996-07-01	Dry3	A-D	89	56	0	0	6	No remarks	No remarks
1996-07-01	Dry4	A-D	18	103	11	0	11	No remarks	No remarks
1996-07-01	Dry5	A-D	67	91	0	0	0	No remarks	No remarks
1996-07-01	Dry6	A-D	0	0	0	0	0	No remarks	No remarks
1996-07-08	Dry1	A-D	0	0	100	0	0	No remarks	No remarks
1996-07-08	Dry2	A-D	0	0	0	0	0	No remarks	No remarks
1996-07-08	Dry3	A-D	3	102	10	0	6	No remarks	No remarks
