"","Plot","species","year","DOY","Date","tot_buds","tot_flowers","tot_sen","tot_F","tot_NF","plot_id","DOYs","DOYsqs"
"1","Cas1","Cassiope",1996,155,1996-06-03,0,0,0,0,0,1,-1.75879074042089,3.09334486859025
"2","Cas1","Cassiope",1996,162,1996-06-10,0,0,0,0,0,1,-1.45504718706032,2.11716231657216
"3","Cas1","Cassiope",1996,169,1996-06-17,0,0,0,0,0,1,-1.15130363369976,1.32550005697028
"4","Cas1","Cassiope",1996,176,1996-06-24,95,5,0,5,95,1,-0.8475600803392,0.718358089784592
"5","Cas1","Cassiope",1996,183,1996-07-01,117,85,0,85,117,1,-0.543816526978638,0.295736415015108
"6","Cas1","Cassiope",1996,190,1996-07-08,2,98,0,98,2,1,-0.240072973618076,0.0576350326618254
"7","Cas1","Cassiope",1996,194,1996-07-12,0,87,25,87,25,1,-0.0665052288406118,0.00442294546314214
"8","Cas1","Cassiope",1996,204,1996-07-22,0,19,172,19,172,1,0.367414133103049,0.134993145203865
"9","Cas1","Cassiope",1996,211,1996-07-29,0,0,100,0,100,1,0.671157686463611,0.450452640099187
"10","Cas1","Cassiope",1997,161,1997-06-10,0,0,0,0,0,1,-1.49843912325469,2.24531980610029
"11","Cas1","Cassiope",1997,168,1997-06-17,0,0,0,0,0,1,-1.19469556989413,1.42729750472466
"12","Cas1","Cassiope",1997,175,1997-06-24,130,0,0,0,130,1,-0.890952016533566,0.793795495765229
"13","Cas1","Cassiope",1997,182,1997-07-01,209,21,0,21,209,1,-0.587208463173004,0.344813779222001
"14","Cas1","Cassiope",1997,189,1997-07-08,90,190,0,190,90,1,-0.283464909812442,0.0803523550949758
"15","Cas1","Cassiope",1997,196,1997-07-15,8,189,15,189,23,1,0.0202786435481203,0.000411223384151721
"16","Cas1","Cassiope",1997,203,1997-07-22,0,120,135,120,135,1,0.324022196908683,0.104990384089529
"17","Cas1","Cassiope",1997,210,1997-07-29,0,16,204,16,204,1,0.627765750269245,0.394089837211108
"18","Cas1","Cassiope",1997,217,1997-08-05,0,0,400,0,400,1,0.931509303629807,0.867709582748888
"19","Cas1","Cassiope",2001,162,2001-06-11,0,0,0,0,0,1,-1.45504718706032,2.11716231657216
"20","Cas1","Cassiope",2001,169,2001-06-18,0,0,0,0,0,1,-1.15130363369976,1.32550005697028
"21","Cas1","Cassiope",2001,175,2001-06-24,0,0,0,0,0,1,-0.890952016533566,0.793795495765229
"22","Cas1","Cassiope",2001,182,2001-07-01,167,33,0,33,167,1,-0.587208463173004,0.344813779222001
"23","Cas1","Cassiope",2001,189,2001-07-08,19,181,0,181,19,1,-0.283464909812442,0.0803523550949758
"24","Cas1","Cassiope",2001,196,2001-07-15,2,174,24,174,26,1,0.0202786435481203,0.000411223384151721
"25","Cas1","Cassiope",2001,203,2001-07-22,0,118,92,118,92,1,0.324022196908683,0.104990384089529
"26","Cas1","Cassiope",2001,210,2001-07-29,0,11,189,11,189,1,0.627765750269245,0.394089837211108
"27","Cas1","Cassiope",2001,217,2001-08-05,0,1,199,1,199,1,0.931509303629807,0.867709582748888
"28","Cas1","Cassiope",2002,168,2002-06-17,0,0,0,0,0,1,-1.19469556989413,1.42729750472466
"29","Cas1","Cassiope",2002,175,2002-06-24,200,0,0,0,200,1,-0.890952016533566,0.793795495765229
"30","Cas1","Cassiope",2002,182,2002-07-01,140,60,0,60,140,1,-0.587208463173004,0.344813779222001
"31","Cas1","Cassiope",2002,189,2002-07-08,18,182,0,182,18,1,-0.283464909812442,0.0803523550949758
"32","Cas1","Cassiope",2002,196,2002-07-15,0,121,79,121,79,1,0.0202786435481203,0.000411223384151721
"33","Cas1","Cassiope",2002,203,2002-07-22,0,17,183,17,183,1,0.324022196908683,0.104990384089529
"34","Cas1","Cassiope",2002,210,2002-07-29,0,1,199,1,199,1,0.627765750269245,0.394089837211108
"35","Cas1","Cassiope",2002,217,2002-08-05,0,0,200,0,200,1,0.931509303629807,0.867709582748888
"36","Cas1","Cassiope",2003,161,2003-06-10,0,0,0,0,0,1,-1.49843912325469,2.24531980610029
"37","Cas1","Cassiope",2003,168,2003-06-17,42,0,0,0,42,1,-1.19469556989413,1.42729750472466
"38","Cas1","Cassiope",2003,175,2003-06-24,139,61,0,61,139,1,-0.890952016533566,0.793795495765229
"39","Cas1","Cassiope",2003,182,2003-07-01,47,153,0,153,47,1,-0.587208463173004,0.344813779222001
"40","Cas1","Cassiope",2003,189,2003-07-08,0,151,49,151,49,1,-0.283464909812442,0.0803523550949758
"41","Cas1","Cassiope",2003,196,2003-07-15,0,22,178,22,178,1,0.0202786435481203,0.000411223384151721
"42","Cas1","Cassiope",2003,203,2003-07-22,0,0,200,0,200,1,0.324022196908683,0.104990384089529
"43","Cas1","Cassiope",2004,155,2004-06-03,0,0,0,0,0,1,-1.75879074042089,3.09334486859025
"44","Cas1","Cassiope",2004,162,2004-06-10,105,0,0,0,105,1,-1.45504718706032,2.11716231657216
"45","Cas1","Cassiope",2004,169,2004-06-17,225,0,0,0,225,1,-1.15130363369976,1.32550005697028
