Date	Plot	Section	Buds	Flowers	Senescent	Field_remarks	General_remarks
1995-07-22	Cas2	A-D	-9999	-9999	-9999	No data	No remarks
1995-07-22	Cas3	A-D	0	44	58	No remarks	No remarks
1995-07-23	Cas1	A-D	0	1	1320	No remarks	No remarks
1995-07-27	Cas4	A-D	0	1	455	No remarks	No remarks
1995-08-05	Cas3	A-D	0	0	100	No remarks	No remarks
1996-06-03	Cas1	A-D	0	0	0	No remarks	No remarks
1996-06-03	Cas2	A-D	0	0	0	No remarks	No remarks
1996-06-03	Cas4	A-D	0	0	0	No remarks	No remarks
1996-06-10	Cas1	A-D	0	0	0	No remarks	No remarks
1996-06-10	Cas2	A-D	0	0	0	No remarks	No remarks
1996-06-10	Cas4	A-D	0	0	0	No remarks	No remarks
1996-06-12	Cas3	A-D	0	0	0	No remarks	No remarks
1996-06-17	Cas1	A-D	-9999	0	0	Buds present	No remarks
1996-06-17	Cas2	A-D	0	0	0	No remarks	No remarks
1996-06-17	Cas3	A-D	0	0	0	No remarks	No remarks
1996-06-17	Cas4	A-D	0	0	0	No remarks	No remarks
1996-06-24	Cas1	A-D	95	5	0	No remarks	No remarks
1996-06-24	Cas2	A-D	0	0	0	No remarks	No remarks
1996-06-24	Cas3	A-D	2	0	0	No remarks	No remarks
1996-06-24	Cas4	A-D	0	0	0	No remarks	No remarks
1996-07-01	Cas1	A-D	117	85	0	No remarks	No remarks
1996-07-01	Cas2	A-D	99	1	0	No remarks	No remarks
1996-07-01	Cas3	A-D	100	0	0	No remarks	No remarks
1996-07-01	Cas4	A-D	20	0	0	No remarks	No remarks
1996-07-08	Cas1	A-D	2	98	0	No remarks	No remarks
1996-07-08	Cas2	A-D	48	128	0	No remarks	No remarks
1996-07-08	Cas3	A-D	120	100	0	No remarks	No remarks
1996-07-08	Cas4	A-D	99	1	0	No remarks	No remarks
1996-07-12	Cas1	A-D	0	87	25	No remarks	No remarks
1996-07-15	Cas2	A-D	3	95	2	No remarks	No remarks
1996-07-15	Cas3	A-D	0	100	0	No remarks	No remarks
1996-07-15	Cas4	A-D	86	78	0	No remarks	No remarks
1996-07-22	Cas1	A-D	0	19	172	No remarks	No remarks
1996-07-22	Cas2	A-D	0	87	102	No remarks	No remarks
1996-07-22	Cas3	A-D	0	116	122	No remarks	No remarks
1996-07-22	Cas4	A-D	0	92	8	No remarks	No remarks
1996-07-29	Cas1	A-D	0	0	100	No remarks	No remarks
1996-07-29	Cas2	A-D	0	4	96	No remarks	No remarks
1996-07-29	Cas3	A-D	0	1	99	No remarks	No remarks
1996-07-29	Cas4	A-D	0	36	108	No remarks	No remarks
1996-08-05	Cas2	A-D	0	0	100	No remarks	No remarks
1996-08-05	Cas3	A-D	0	0	100	No remarks	No remarks
1996-08-05	Cas4	A-D	0	2	98	No remarks	No remarks
1996-08-12	Cas4	A-D	0	0	100	No remarks	No remarks
1997-06-10	Cas1	A	0	0	0	No remarks	No remarks
1997-06-10	Cas1	B	0	0	0	No remarks	No remarks
1997-06-10	Cas1	C	0	0	0	No remarks	No remarks
1997-06-10	Cas1	D	0	0	0	No remarks	No remarks
1997-06-17	Cas1	A	0	0	0	No remarks	No remarks
1997-06-17	Cas1	B	0	0	0	No remarks	No remarks
1997-06-17	Cas1	C	0	0	0	No remarks	No remarks
1997-06-17	Cas1	D	0	0	0	No remarks	No remarks
1997-06-24	Cas1	A	50	0	0	No remarks	No remarks
1997-06-24	Cas1	B	20	0	0	No remarks	No remarks
1997-06-24	Cas1	C	30	0	0	No remarks	No remarks
1997-06-24	Cas1	D	30	0	0	No remarks	No remarks
1997-06-24	Cas2	A	0	0	0	No remarks	No remarks
1997-06-24	Cas2	B	0	0	0	No remarks	No remarks
1997-06-24	Cas2	C	0	0	0	No remarks	No remarks
1997-06-24	Cas2	D	0	0	0	No remarks	No remarks
1997-06-24	Cas3	A	0	0	0	No remarks	No remarks
1997-06-24	Cas3	B	0	0	0	No remarks	No remarks
1997-06-24	Cas3	C	0	0	0	No remarks	No remarks
1997-06-24	Cas3	D	0	0	0	No remarks	No remarks
1997-06-24	Cas4	A	0	0	0	No remarks	No remarks
1997-06-24	Cas4	B	0	0	0	No remarks	No remarks
1997-06-24	Cas4	C	0	0	0	No remarks	No remarks
1997-06-24	Cas4	D	0	0	0	No remarks	No remarks
1997-07-01	Cas1	A	47	3	0	No remarks	No remarks
1997-07-01	Cas1	B	63	4	0	No remarks	No remarks
1997-07-01	Cas1	C	54	9	0	No remarks	No remarks
1997-07-01	Cas1	D	45	5	0	No remarks	No remarks
1997-07-01	Cas2	A	18	0	0	No remarks	No remarks
1997-07-01	Cas2	B	24	0	0	No remarks	No remarks
1997-07-01	Cas2	C	15	0	0	No remarks	No remarks
1997-07-01	Cas2	D	2	0	0	No remarks	No remarks
1997-07-01	Cas3	A	14	0	0	No remarks	No remarks
1997-07-01	Cas3	B	26	0	0	No remarks	No remarks
1997-07-01	Cas3	C	17	0	0	No remarks	No remarks
1997-07-01	Cas3	D	21	0	0	No remarks	No remarks
1997-07-01	Cas4	A	0	0	0	No remarks	No remarks
1997-07-01	Cas4	B	35	0	0	No remarks	No remarks
1997-07-01	Cas4	C	19	0	0	No remarks	No remarks
1997-07-01	Cas4	D	20	0	0	No remarks	No remarks
1997-07-08	Cas1	A	30	31	0	No remarks	No remarks
1997-07-08	Cas1	B	20	48	0	No remarks	No remarks
1997-07-08	Cas1	C	10	41	0	No remarks	No remarks
1997-07-08	Cas1	D	30	70	0	No remarks	No remarks
1997-07-08	Cas2	A	22	0	0	No remarks	No remarks
1997-07-08	Cas2	B	25	0	0	No remarks	No remarks
1997-07-08	Cas2	C	42	0	0	No remarks	No remarks
1997-07-08	Cas2	D	18	0	0	No remarks	No remarks
1997-07-08	Cas3	A	50	0	0	No remarks	No remarks
1997-07-08	Cas3	B	50	0	0	No remarks	No remarks
1997-07-08	Cas3	C	50	0	0	No remarks	No remarks
1997-07-08	Cas3	D	50	0	0	No remarks	No remarks
1997-07-08	Cas4	A	20	0	0	No remarks	No remarks
1997-07-08	Cas4	B	11	0	0	No remarks	No remarks
1997-07-08	Cas4	C	36	0	0	No remarks	No remarks
1997-07-08	Cas4	D	35	0	0	No remarks	No remarks
1997-07-15	Cas1	A	8	40	2	No remarks	No remarks
1997-07-15	Cas1	B	0	50	4	No remarks	No remarks
1997-07-15	Cas1	C	0	50	0	No remarks	No remarks
1997-07-15	Cas1	D	0	49	9	No remarks	No remarks
1997-07-15	Cas2	A	50	7	0	No remarks	No remarks
1997-07-15	Cas2	B	41	1	0	No remarks	No remarks
1997-07-15	Cas2	C	39	36	0	No remarks	No remarks
1997-07-15	Cas2	D	45	6	0	No remarks	No remarks
1997-07-15	Cas3	A	50	4	0	No remarks	No remarks
1997-07-15	Cas3	B	50	5	0	No remarks	No remarks
1997-07-15	Cas3	C	43	25	0	No remarks	No remarks
1997-07-15	Cas3	D	50	7	0	No remarks	No remarks
1997-07-15	Cas4	A	10	5	0	No remarks	No remarks
1997-07-15	Cas4	B	20	39	0	No remarks	No remarks
1997-07-15	Cas4	C	21	25	0	No remarks	No remarks
1997-07-15	Cas4	D	41	15	0	No remarks	No remarks
1997-07-22	Cas1	A	0	31	21	No remarks	No remarks
1997-07-22	Cas1	B	0	43	25	No remarks	No remarks
1997-07-22	Cas1	C	0	25	53	No remarks	No remarks
1997-07-22	Cas1	D	0	21	36	No remarks	No remarks
1997-07-22	Cas2	A	5	50	0	No remarks	No remarks
1997-07-22	Cas2	B	30	40	0	No remarks	No remarks
1997-07-22	Cas2	C	32	25	0	No remarks	No remarks
1997-07-22	Cas2	D	11	30	2	No remarks	No remarks
1997-07-22	Cas3	A	1	50	0	No remarks	No remarks
1997-07-22	Cas3	B	4	51	0	No remarks	No remarks
1997-07-22	Cas3	C	3	50	0	No remarks	No remarks
1997-07-22	Cas3	D	1	50	0	No remarks	No remarks
1997-07-22	Cas4	A	1	27	0	No remarks	No remarks
1997-07-22	Cas4	B	0	50	6	No remarks	No remarks
1997-07-22	Cas4	C	4	50	0	No remarks	No remarks
1997-07-22	Cas4	D	0	50	0	No remarks	No remarks
1997-07-24	Cas6	A	41	13	0	No remarks	No remarks
1997-07-24	Cas6	B	83	8	0	No remarks	No remarks
1997-07-24	Cas6	C	29	1	0	No remarks	No remarks
1997-07-24	Cas6	D	35	3	0	No remarks	No remarks
1997-07-29	Cas1	A	0	13	54	No remarks	No remarks
1997-07-29	Cas1	B	0	0	50	No remarks	No remarks
1997-07-29	Cas1	C	0	3	50	No remarks	No remarks
1997-07-29	Cas1	D	0	0	50	No remarks	No remarks
1997-07-29	Cas2	A	1	50	4	No remarks	No remarks
1997-07-29	Cas2	B	2	50	7	No remarks	No remarks
1997-07-29	Cas2	C	0	40	12	No remarks	No remarks
1997-07-29	Cas2	D	0	25	26	No remarks	No remarks
1997-07-29	Cas3	A	0	50	7	No remarks	No remarks
1997-07-29	Cas3	B	0	50	8	No remarks	No remarks
1997-07-29	Cas3	C	0	42	17	No remarks	No remarks
1997-07-29	Cas3	D	0	24	30	No remarks	No remarks
1997-07-29	Cas4	A	0	9	5	No remarks	No remarks
1997-07-29	Cas4	B	0	24	14	No remarks	No remarks
1997-07-29	Cas4	C	0	30	38	No remarks	No remarks
1997-07-29	Cas4	D	0	38	18	No remarks	No remarks
1997-07-31	Cas6	A	11	53	0	No remarks	No remarks
1997-07-31	Cas6	B	10	60	0	No remarks	No remarks
1997-07-31	Cas6	C	13	57	0	No remarks	No remarks
1997-07-31	Cas6	D	24	44	0	No remarks	No remarks
1997-08-05	Cas1	A	0	0	100	No remarks	No remarks
1997-08-05	Cas1	B	0	0	100	No remarks	No remarks
1997-08-05	Cas1	C	0	0	100	No remarks	No remarks
1997-08-05	Cas1	D	0	0	100	No remarks	No remarks
1997-08-05	Cas2	A	0	14	40	No remarks	No remarks
1997-08-05	Cas2	B	0	20	47	No remarks	No remarks
1997-08-05	Cas2	C	0	15	36	No remarks	No remarks
1997-08-05	Cas2	D	0	6	69	No remarks	No remarks
1997-08-05	Cas3	A	0	25	42	No remarks	No remarks
1997-08-05	Cas3	B	0	16	46	No remarks	No remarks
1997-08-05	Cas3	C	0	2	59	No remarks	No remarks
1997-08-05	Cas3	D	0	0	50	No remarks	No remarks
1997-08-05	Cas4	A	0	4	16	No remarks	No remarks
1997-08-05	Cas4	B	0	2	31	No remarks	No remarks
1997-08-05	Cas4	C	0	6	148	No remarks	No remarks
1997-08-05	Cas4	D	0	9	196	No remarks	No remarks
1997-08-12	Cas2	A	0	0	100	No remarks	No remarks
1997-08-12	Cas2	B	0	0	100	No remarks	No remarks
1997-08-12	Cas2	C	0	0	100	No remarks	No remarks
1997-08-12	Cas2	D	0	0	100	No remarks	No remarks
1997-08-12	Cas3	A	0	0	100	No remarks	No remarks
1997-08-12	Cas3	B	0	0	100	No remarks	No remarks
1997-08-12	Cas3	C	0	0	100	No remarks	No remarks
1997-08-12	Cas3	D	0	0	100	No remarks	No remarks
1997-08-12	Cas4	A	0	0	100	No remarks	No remarks
1997-08-12	Cas4	B	0	0	100	No remarks	No remarks
1997-08-12	Cas4	C	0	0	100	No remarks	No remarks
1997-08-12	Cas4	D	0	0	100	No remarks	No remarks
1997-08-19	Cas6	A	0	5	32	No remarks	No remarks
1997-08-19	Cas6	B	0	0	100	No remarks	No remarks
1997-08-19	Cas6	C	0	5	83	No remarks	No remarks
1997-08-19	Cas6	D	0	10	49	No remarks	No remarks
1997-08-24	Cas6	A	0	0	100	No remarks	No remarks
1997-08-24	Cas6	B	0	0	100	No remarks	No remarks
1997-08-24	Cas6	C	0	0	100	No remarks	No remarks
1997-08-24	Cas6	D	0	0	100	No remarks	No remarks
1998-06-12	Cas5	A	0	0	0	No remarks	No remarks
1998-06-12	Cas5	B	0	0	0	No remarks	No remarks
1998-06-12	Cas5	C	0	0	0	No remarks	No remarks
1998-06-12	Cas5	D	0	0	0	No remarks	No remarks
1998-06-21	Cas5	A	0	0	0	No remarks	No remarks
1998-06-21	Cas5	B	0	0	0	No remarks	No remarks
1998-06-21	Cas5	C	0	0	0	No remarks	No remarks
1998-06-21	Cas5	D	0	0	0	No remarks	No remarks
1998-06-24	Cas1	A	1	0	0	No remarks	No remarks
1998-06-24	Cas1	B	3	0	0	No remarks	No remarks
1998-06-24	Cas1	C	5	0	0	No remarks	No remarks
1998-06-24	Cas1	D	0	0	0	No remarks	No remarks
1998-06-24	Cas2	A	0	0	0	No remarks	No remarks
1998-06-24	Cas2	B	0	0	0	No remarks	No remarks
1998-06-24	Cas2	C	0	0	0	No remarks	No remarks
1998-06-24	Cas2	D	0	0	0	No remarks	No remarks
1998-06-24	Cas3	A	0	0	0	No remarks	No remarks
1998-06-24	Cas3	B	0	0	0	No remarks	No remarks
1998-06-24	Cas3	C	0	0	0	No remarks	No remarks
1998-06-24	Cas3	D	0	0	0	No remarks	No remarks
1998-06-24	Cas4	A	0	0	0	No remarks	No remarks
1998-06-24	Cas4	B	0	0	0	No remarks	No remarks
1998-06-24	Cas4	C	0	0	0	No remarks	No remarks
1998-06-24	Cas4	D	0	0	0	No remarks	No remarks
1998-06-28	Cas5	A	0	0	0	No remarks	No remarks
1998-06-28	Cas5	B	0	0	0	No remarks	No remarks
1998-06-28	Cas5	C	0	0	0	No remarks	No remarks
1998-06-28	Cas5	D	0	0	0	No remarks	No remarks
1998-07-01	Cas1	A	7	0	0	No remarks	No remarks
1998-07-01	Cas1	B	15	0	0	No remarks	No remarks
