Date	Plot	Section	Buds	Flowers	Senescent	Open	Eaten	Field_remarks	General_remarks
1995-07-23	Pap1	A-D	7	7	106	0	-9999	No remarks	No remarks
1995-07-26	Pap4	A-D	0	106	13	0	-9999	No remarks	No remarks
1995-07-28	Pap1	A-D	0	9	104	0	-9999	No remarks	No remarks
1995-08-05	Pap1	A-D	1	7	69	78	-9999	No remarks	No remarks
1995-08-05	Pap3	A-D	0	1	71	48	-9999	No remarks	No remarks
1995-08-05	Pap4	A-D	0	20	107	0	-9999	No remarks	No remarks
1995-08-12	Pap1	A-D	0	0	3	117	-9999	No remarks	No remarks
1995-08-12	Pap3	A-D	0	0	15	116	-9999	No remarks	No remarks
1995-08-12	Pap4	A-D	0	1	111	2	-9999	No remarks	No remarks
1995-08-19	Pap1	A-D	0	0	0	100	-9999	No remarks	No remarks
1995-08-19	Pap3	A-D	0	0	1	99	-9999	No remarks	No remarks
1995-08-19	Pap4	A-D	0	0	59	41	-9999	No remarks	No remarks
1995-08-20	Pap2	A-D	0	0	8	102	-9999	No remarks	No remarks
1995-08-26	Pap2	A-D	0	0	0	100	-9999	No remarks	No remarks
1995-08-26	Pap3	A-D	0	0	0	100	-9999	No remarks	No remarks
1995-08-26	Pap4	A-D	0	0	0	100	-9999	No remarks	No remarks
1996-06-03	Pap1	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-03	Pap2	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-03	Pap3	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-03	Pap4	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-10	Pap1	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-10	Pap2	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-10	Pap3	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-10	Pap4	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-17	Pap1	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-17	Pap2	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-17	Pap3	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-17	Pap4	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-24	Pap1	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-24	Pap2	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-24	Pap3	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-06-24	Pap4	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-07-01	Pap1	A-D	44	0	0	0	-9999	No remarks	No remarks
1996-07-01	Pap2	A-D	10	0	0	0	-9999	No remarks	No remarks
1996-07-01	Pap3	A-D	7	0	0	0	-9999	No remarks	No remarks
1996-07-01	Pap4	A-D	0	0	0	0	-9999	No remarks	No remarks
1996-07-08	Pap1	A-D	97	4	0	0	-9999	No remarks	No remarks
1996-07-08	Pap2	A-D	100	0	0	0	-9999	No remarks	No remarks
1996-07-08	Pap3	A-D	100	0	0	0	-9999	No remarks	No remarks
1996-07-08	Pap4	A-D	100	0	0	0	-9999	No remarks	No remarks
1996-07-15	Pap1	A-D	59	83	0	0	-9999	No remarks	No remarks
1996-07-15	Pap2	A-D	50	72	0	0	-9999	No remarks	No remarks
1996-07-15	Pap3	A-D	38	63	0	0	-9999	No remarks	No remarks
1996-07-15	Pap4	A-D	50	50	0	0	-9999	No remarks	No remarks
1996-07-22	Pap1	A-D	1	108	68	0	-9999	No remarks	No remarks
1996-07-22	Pap2	A-D	7	150	24	0	-9999	No remarks	No remarks
1996-07-22	Pap3	A-D	2	97	1	0	-9999	No remarks	No remarks
1996-07-22	Pap4	A-D	4	96	0	0	-9999	No remarks	No remarks
1996-07-29	Pap1	A-D	3	25	126	0	-9999	No remarks	No remarks
1996-07-29	Pap2	A-D	2	39	120	0	-9999	No remarks	No remarks
1996-07-29	Pap3	A-D	1	44	78	0	-9999	No remarks	No remarks
1996-07-29	Pap4	A-D	2	71	56	0	-9999	No remarks	No remarks
1996-08-05	Pap1	A-D	1	9	96	0	-9999	No remarks	No remarks
1996-08-05	Pap2	A-D	1	8	93	0	-9999	No remarks	No remarks
1996-08-05	Pap3	A-D	2	5	94	0	-9999	No remarks	No remarks
1996-08-05	Pap4	A-D	2	7	93	0	-9999	No remarks	No remarks
