Date	Plot	Section	Buds	Male_flowers	Female_flowers	Seed_hairs	Field_remarks	General_remarks
1995-07-26	Sal1	A-D	-9999	-9999	117	8	No remarks	No remarks
1995-07-28	Sal3	A-D	-9999	-9999	83	35	No remarks	No remarks
1995-08-05	Sal1	A-D	-9999	-9999	80	23	No remarks	No remarks
1995-08-05	Sal3	A-D	-9999	-9999	45	88	No remarks	No remarks
1995-08-12	Sal1	A-D	-9999	-9999	17	88	No remarks	No remarks
1995-08-12	Sal3	A-D	-9999	-9999	6	138	No remarks	No remarks
1995-08-19	Sal1	A-D	-9999	-9999	2	107	No remarks	No remarks
1995-08-19	Sal2	A-D	-9999	-9999	10	96	No remarks	No remarks
1995-08-19	Sal3	A-D	-9999	-9999	0	100	No remarks	No remarks
1995-08-19	Sal4	A-D	-9999	-9999	1	129	No remarks	No remarks
1995-08-26	Sal1	A-D	-9999	-9999	0	100	No remarks	No remarks
1995-08-26	Sal2	A-D	-9999	-9999	0	100	No remarks	No remarks
1995-08-26	Sal4	A-D	-9999	-9999	0	100	No remarks	No remarks
1996-06-03	Sal2	A-D	0	0	0	0	No remarks	No remarks
1996-06-03	Sal3	A-D	10	0	0	0	No remarks	No remarks
1996-06-04	Sal1	A-D	176	73	56	0	No remarks	No remarks
1996-06-04	Sal4	A-D	0	0	0	0	No remarks	No remarks
1996-06-10	Sal1	A-D	8	120	129	0	No remarks	No remarks
1996-06-10	Sal2	A-D	0	0	0	0	No remarks	No remarks
1996-06-10	Sal3	A-D	100	0	0	0	No remarks	No remarks
1996-06-10	Sal4	A-D	0	0	0	0	No remarks	No remarks
1996-06-17	Sal1	A-D	0	105	128	0	No remarks	No remarks
1996-06-17	Sal2	A-D	94	7	7	0	No remarks	No remarks
1996-06-17	Sal3	A-D	313	45	33	0	No remarks	No remarks
1996-06-17	Sal4	A-D	0	0	0	0	No remarks	No remarks
1996-06-24	Sal1	A-D	0	100	136	0	No remarks	No remarks
1996-06-24	Sal2	A-D	25	74	108	0	No remarks	No remarks
1996-06-24	Sal3	A-D	2	134	110	0	No remarks	No remarks
1996-06-24	Sal4	A-D	100	0	0	0	No remarks	No remarks
1996-07-01	Sal1	A-D	0	100	100	0	No remarks	No remarks
1996-07-01	Sal2	A-D	2	98	142	0	No remarks	No remarks
1996-07-01	Sal4	A-D	57	150	69	0	No remarks	No remarks
1996-07-08	Sal1	A-D	0	0	100	0	No remarks	No remarks
1996-07-08	Sal2	A-D	0	103	171	0	No remarks	No remarks
1996-07-08	Sal3	A-D	0	100	100	0	No remarks	No remarks
1996-07-08	Sal4	A-D	0	201	187	0	No remarks	No remarks
1996-07-15	Sal1	A-D	0	0	100	0	No remarks	No remarks
1996-07-15	Sal2	A-D	0	100	100	0	No remarks	No remarks
1996-07-15	Sal3	A-D	0	0	100	0	No remarks	No remarks
1996-07-15	Sal4	A-D	0	107	146	0	No remarks	No remarks
1996-07-22	Sal1	A-D	0	0	111	4	No remarks	No remarks
1996-07-22	Sal2	A-D	0	0	100	0	No remarks	No remarks
1996-07-22	Sal3	A-D	0	0	100	0	No remarks	No remarks
1996-07-22	Sal4	A-D	0	100	103	0	No remarks	No remarks
1996-07-29	Sal1	A-D	0	0	97	3	No remarks	No remarks
1996-07-29	Sal2	A-D	0	0	94	6	No remarks	No remarks
1996-07-29	Sal3	A-D	0	0	95	5	No remarks	No remarks
1996-07-29	Sal4	A-D	0	0	100	0	No remarks	No remarks
1996-08-05	Sal1	A-D	0	0	99	18	No remarks	No remarks
1996-08-05	Sal2	A-D	0	0	94	6	No remarks	No remarks
1996-08-05	Sal3	A-D	0	0	82	20	No remarks	No remarks
1996-08-05	Sal4	A-D	0	0	123	0	No remarks	No remarks
1996-08-12	Sal1	A-D	0	0	5	95	No remarks	No remarks
1996-08-12	Sal2	A-D	0	0	32	111	No remarks	No remarks
1996-08-12	Sal3	A-D	0	0	14	86	No remarks	No remarks
1996-08-12	Sal4	A-D	0	0	92	8	No remarks	No remarks
1996-08-19	Sal1	A-D	0	0	0	100	No remarks	No remarks
1996-08-19	Sal2	A-D	0	0	12	88	No remarks	No remarks
1996-08-19	Sal3	A-D	0	0	0	100	No remarks	No remarks
1996-08-19	Sal4	A-D	0	0	29	79	No remarks	No remarks
1996-08-26	Sal2	A-D	0	0	0	100	No remarks	No remarks
1996-08-26	Sal4	A-D	0	0	0	100	No remarks	No remarks
1997-05-27	Sal1	A	50	0	0	0	No remarks	No remarks
1997-05-27	Sal1	B	97	0	0	0	No remarks	No remarks
1997-05-27	Sal1	C	35	0	0	0	No remarks	No remarks
1997-05-27	Sal1	D	50	0	0	0	No remarks	No remarks
1997-05-27	Sal4	A	0	0	0	0	No remarks	No remarks
1997-05-27	Sal4	B	0	0	0	0	No remarks	No remarks
1997-05-27	Sal4	C	0	0	0	0	No remarks	No remarks
1997-05-27	Sal4	D	0	0	0	0	No remarks	No remarks
1997-06-03	Sal1	A	84	8	8	0	No remarks	No remarks
1997-06-03	Sal1	B	59	22	10	0	No remarks	No remarks
1997-06-03	Sal1	C	41	12	4	0	No remarks	No remarks
1997-06-03	Sal1	D	48	8	1	0	No remarks	No remarks
1997-06-03	Sal4	A	0	0	0	0	Buds bursting	No remarks
1997-06-03	Sal4	B	0	0	0	0	No remarks	No remarks
1997-06-03	Sal4	C	0	0	0	0	No remarks	No remarks
1997-06-03	Sal4	D	0	0	0	0	Buds bursting	No remarks
1997-06-10	Sal3	A	26	0	0	0	No remarks	No remarks
1997-06-10	Sal3	B	23	0	0	0	No remarks	No remarks
1997-06-10	Sal3	C	27	0	0	0	No remarks	No remarks
1997-06-10	Sal3	D	33	0	0	0	No remarks	No remarks
1997-06-10	Sal4	A	50	0	0	0	No remarks	No remarks
1997-06-10	Sal4	B	50	0	0	0	No remarks	No remarks
1997-06-10	Sal4	C	4	0	0	0	No remarks	No remarks
1997-06-10	Sal4	D	50	0	0	0	No remarks	No remarks
1997-06-12	Sal1	A	0	18	35	0	No remarks	No remarks
1997-06-12	Sal1	B	3	23	17	0	No remarks	No remarks
1997-06-12	Sal1	C	2	32	17	0	No remarks	No remarks
1997-06-12	Sal1	D	3	37	24	0	No remarks	No remarks
1997-06-17	Sal1	A	0	15	17	0	No remarks	No remarks
1997-06-17	Sal1	B	0	15	33	0	No remarks	No remarks
1997-06-17	Sal1	C	0	24	34	0	No remarks	No remarks
1997-06-17	Sal1	D	0	28	14	0	No remarks	No remarks
1997-06-17	Sal3	A	50	0	0	0	No remarks	No remarks
1997-06-17	Sal3	B	22	0	0	0	No remarks	No remarks
1997-06-17	Sal3	C	14	0	0	0	No remarks	No remarks
1997-06-17	Sal3	D	50	0	0	0	No remarks	No remarks
1997-06-17	Sal4	A	45	1	8	0	No remarks	No remarks
1997-06-17	Sal4	B	35	0	0	0	No remarks	No remarks
1997-06-17	Sal4	C	50	0	0	0	No remarks	No remarks
1997-06-17	Sal4	D	42	1	0	0	No remarks	No remarks
1997-06-24	Sal1	A	0	25	18	0	No remarks	No remarks
1997-06-24	Sal1	B	0	22	15	0	No remarks	No remarks
1997-06-24	Sal1	C	0	36	48	0	No remarks	No remarks
1997-06-24	Sal1	D	0	30	8	0	No remarks	No remarks
1997-06-24	Sal2	A	25	0	0	0	No remarks	No remarks
1997-06-24	Sal2	B	14	0	0	0	No remarks	No remarks
1997-06-24	Sal2	C	23	0	0	0	No remarks	No remarks
1997-06-24	Sal2	D	7	0	0	0	No remarks	No remarks
1997-06-24	Sal3	A	4	0	31	0	No remarks	No remarks
1997-06-24	Sal3	B	13	0	16	0	No remarks	No remarks
