Date	Plot	Section	Buds	Flowers	Senescent	Open	Field_remarks	General_remarks
1996-06-04	Sax2	A-D	19	141	0	0	No remarks	No remarks
1996-06-10	Sax1	A-B	0	86	16	0	No remarks	No remarks
1996-06-10	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-06-10	Sax2	A-D	0	100	0	0	No remarks	No remarks
1996-06-10	Sax3	A-D	58	46	0	0	No remarks	No remarks
1996-06-17	Sax1	A-B	0	12	163	0	No remarks	No remarks
1996-06-17	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-06-17	Sax2	A-D	1	22	128	0	No remarks	No remarks
1996-06-17	Sax3	A-D	1	100	1	0	No remarks	No remarks
1996-06-24	Sax1	A-B	0	1	149	0	No remarks	No remarks
1996-06-24	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-06-24	Sax2	A-D	0	0	100	0	No remarks	No remarks
1996-06-24	Sax3	A-D	0	2	98	0	No remarks	No remarks
1996-07-01	Sax1	A-B	0	0	100	0	No remarks	No remarks
1996-07-01	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-07-01	Sax2	A-D	0	0	100	0	No remarks	No remarks
1996-07-01	Sax3	A-D	0	0	100	0	No remarks	No remarks
1996-07-08	Sax1	A-B	0	0	100	0	No remarks	No remarks
1996-07-08	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-07-08	Sax2	A-D	0	0	100	0	No remarks	No remarks
1996-07-08	Sax3	A-D	0	0	100	0	No remarks	No remarks
1996-07-15	Sax1	A-B	0	0	100	0	No remarks	No remarks
1996-07-15	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-07-15	Sax2	A-D	0	0	100	0	No remarks	No remarks
1996-07-15	Sax3	A-D	0	0	100	0	No remarks	No remarks
1996-07-22	Sax1	A-B	0	0	53	101	No remarks	No remarks
1996-07-22	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-07-22	Sax2	A-D	0	0	125	95	No remarks	No remarks
1996-07-22	Sax3	A-D	0	0	100	0	No remarks	No remarks
1996-07-29	Sax1	A-B	0	0	0	100	No remarks	No remarks
1996-07-29	Sax1	C-D	-9999	-9999	-9999	-9999	No remarks	No remarks
1996-07-29	Sax2	A-D	0	0	14	86	No remarks	No remarks
1996-07-29	Sax3	A-D	0	0	150	1	No remarks	No remarks
1996-08-05	Sax2	A-D	0	0	0	100	No remarks	No remarks
1996-08-05	Sax3	A-D	0	0	110	56	No remarks	No remarks
1996-08-12	Sax3	A-D	0	0	0	100	No remarks	No remarks
1997-05-27	Sax1	A	10	1	0	0	No remarks	No remarks
1997-05-27	Sax1	B	15	3	0	0	No remarks	No remarks
1997-05-27	Sax1	C	-9999	-9999	-9999	-9999	No remarks	No remarks
1997-05-27	Sax1	D	-9999	-9999	-9999	-9999	No remarks	No remarks
1997-05-27	Sax2	A	2	0	0	0	No remarks	No remarks
1997-05-27	Sax2	B	9	0	0	0	No remarks	No remarks
1997-05-27	Sax2	C	16	0	0	0	No remarks	No remarks
1997-05-27	Sax2	D	19	0	0	0	No remarks	No remarks
1997-05-27	Sax3	A	50	1	0	0	No remarks	No remarks
1997-05-27	Sax3	B	15	0	0	0	No remarks	No remarks
1997-05-27	Sax3	C	22	0	0	0	No remarks	No remarks
1997-05-27	Sax3	D	38	0	0	0	No remarks	No remarks
1997-06-03	Sax1	A	16	36	0	0	No remarks	No remarks
1997-06-03	Sax1	B	8	27	0	0	No remarks	No remarks
1997-06-03	Sax1	C	-9999	-9999	-9999	-9999	No remarks	No remarks
1997-06-03	Sax1	D	-9999	-9999	-9999	-9999	No remarks	No remarks
1997-06-03	Sax2	A	15	21	0	0	No remarks	No remarks
1997-06-03	Sax2	B	24	17	0	0	No remarks	No remarks
1997-06-03	Sax2	C	15	35	0	0	No remarks	No remarks
1997-06-03	Sax2	D	14	40	0	0	No remarks	No remarks
1997-06-03	Sax3	A	21	49	0	0	No remarks	No remarks
1997-06-03	Sax3	B	17	35	0	0	No remarks	No remarks
1997-06-03	Sax3	C	19	45	0	0	No remarks	No remarks
1997-06-03	Sax3	D	3	59	0	0	No remarks	No remarks
1997-06-10	Sax1	A	1	22	4	0	No remarks	Plot doubled in size to the south
1997-06-10	Sax1	B	0	28	6	0	No remarks	Plot doubled in size to the south
1997-06-10	Sax1	C	1	24	2	0	No remarks	Plot doubled in size to the south
1997-06-10	Sax1	D	0	20	4	0	No remarks	Plot doubled in size to the south
1997-06-10	Sax2	A	6	31	1	0	No remarks	No remarks
1997-06-10	Sax2	B	8	48	0	0	No remarks	No remarks
1997-06-10	Sax2	C	7	46	0	0	No remarks	No remarks
1997-06-10	Sax2	D	7	41	1	0	No remarks	No remarks
1997-06-10	Sax3	A	3	52	25	0	No remarks	No remarks
1997-06-10	Sax3	B	6	35	9	0	No remarks	No remarks
1997-06-10	Sax3	C	5	32	7	0	No remarks	No remarks
1997-06-10	Sax3	D	0	39	20	0	No remarks	No remarks
1997-06-17	Sax1	A	0	10	11	0	No remarks	No remarks
1997-06-17	Sax1	B	0	7	8	0	No remarks	No remarks
1997-06-17	Sax1	C	0	21	13	0	No remarks	No remarks
1997-06-17	Sax1	D	0	4	11	0	No remarks	No remarks
1997-06-17	Sax2	A	0	37	7	0	No remarks	No remarks
1997-06-17	Sax2	B	0	50	5	0	No remarks	No remarks
1997-06-17	Sax2	C	0	51	14	0	No remarks	No remarks
1997-06-17	Sax2	D	0	31	13	0	No remarks	No remarks
1997-06-17	Sax3	A	0	24	52	0	No remarks	No remarks
1997-06-17	Sax3	B	0	20	10	0	No remarks	No remarks
1997-06-17	Sax3	C	0	29	24	0	No remarks	No remarks
1997-06-17	Sax3	D	0	16	20	0	No remarks	No remarks
1997-06-24	Sax1	A	0	0	16	0	No remarks	No remarks
1997-06-24	Sax1	B	0	1	17	0	No remarks	No remarks
1997-06-24	Sax1	C	0	0	23	0	No remarks	No remarks
1997-06-24	Sax1	D	0	0	10	0	No remarks	No remarks
1997-06-24	Sax2	A	0	13	18	0	No remarks	No remarks
1997-06-24	Sax2	B	0	14	23	0	No remarks	No remarks
1997-06-24	Sax2	C	0	12	27	0	No remarks	No remarks
1997-06-24	Sax2	D	0	15	28	0	No remarks	No remarks
1997-06-24	Sax3	A	0	5	52	0	No remarks	No remarks
1997-06-24	Sax3	B	0	12	32	0	No remarks	No remarks
1997-06-24	Sax3	C	0	4	32	0	No remarks	No remarks
1997-07-01	Sax1	A	0	0	15	0	No remarks	No remarks
1997-07-01	Sax1	B	0	0	11	0	No remarks	No remarks
1997-07-01	Sax1	C	0	0	15	0	No remarks	No remarks
1997-07-01	Sax1	D	0	0	14	0	No remarks	No remarks
1997-07-01	Sax2	A	0	3	29	0	No remarks	No remarks
1997-07-01	Sax2	B	0	2	32	0	No remarks	No remarks
1997-07-01	Sax2	C	0	4	50	0	No remarks	No remarks
1997-07-01	Sax2	D	0	3	49	0	No remarks	No remarks
1997-07-01	Sax3	A	0	2	68	0	No remarks	No remarks
1997-07-01	Sax3	B	0	4	24	0	No remarks	No remarks
1997-07-01	Sax3	C	0	1	67	0	No remarks	No remarks
1997-07-01	Sax3	D	0	4	42	0	No remarks	No remarks
1997-07-08	Sax1	A	0	0	14	0	No remarks	No remarks
1997-07-08	Sax1	B	0	0	15	0	No remarks	No remarks
1997-07-08	Sax1	C	0	0	13	0	No remarks	No remarks
1997-07-08	Sax1	D	0	0	14	0	No remarks	No remarks
1997-07-08	Sax2	A	0	1	45	0	No remarks	No remarks
1997-07-08	Sax2	B	0	1	44	0	No remarks	No remarks
1997-07-08	Sax2	C	0	2	80	0	No remarks	No remarks
1997-07-08	Sax2	D	0	3	5	0	No remarks	No remarks
1997-07-08	Sax3	A	0	0	49	0	No remarks	No remarks
1997-07-08	Sax3	B	0	0	18	0	No remarks	No remarks
1997-07-08	Sax3	C	0	0	37	0	No remarks	No remarks
1997-07-08	Sax3	D	0	0	48	0	No remarks	No remarks
1997-07-15	Sax1	A	0	0	13	0	No remarks	No remarks
1997-07-15	Sax1	B	0	0	22	0	No remarks	No remarks
1997-07-15	Sax1	C	0	0	32	0	No remarks	No remarks
1997-07-15	Sax1	D	0	0	18	0	No remarks	No remarks
1997-07-15	Sax2	A	0	0	25	0	No remarks	No remarks
1997-07-15	Sax2	B	0	0	47	0	No remarks	No remarks
1997-07-15	Sax2	C	0	0	50	0	No remarks	No remarks
1997-07-15	Sax2	D	0	0	45	0	No remarks	No remarks
1997-07-15	Sax3	A	0	0	50	0	No remarks	No remarks
1997-07-15	Sax3	B	0	0	50	0	No remarks	No remarks
1997-07-15	Sax3	C	0	0	24	0	No remarks	No remarks
1997-07-15	Sax3	D	0	0	23	0	No remarks	No remarks
1997-07-22	Sax1	A	0	0	21	0	No remarks	No remarks
1997-07-22	Sax1	B	0	0	18	0	No remarks	No remarks
1997-07-22	Sax1	C	0	0	26	0	No remarks	No remarks
1997-07-22	Sax1	D	0	0	8	0	No remarks	No remarks
1997-07-22	Sax2	A	0	0	42	0	No remarks	No remarks
1997-07-22	Sax2	B	0	0	48	0	No remarks	No remarks
1997-07-22	Sax2	C	0	0	50	0	No remarks	No remarks
1997-07-22	Sax2	D	0	0	50	0	No remarks	No remarks
1997-07-22	Sax3	A	0	0	50	0	No remarks	No remarks
1997-07-22	Sax3	B	0	0	30	0	No remarks	No remarks
1997-07-22	Sax3	C	0	0	31	0	No remarks	No remarks
1997-07-22	Sax3	D	0	0	50	0	No remarks	No remarks
1997-07-29	Sax1	A	0	0	21	0	No remarks	No remarks
1997-07-29	Sax1	B	0	0	14	2	No remarks	No remarks
1997-07-29	Sax1	C	0	0	16	0	No remarks	No remarks
1997-07-29	Sax1	D	0	0	6	0	No remarks	No remarks
1997-07-29	Sax2	A	0	0	23	0	No remarks	No remarks
1997-07-29	Sax2	B	0	0	34	0	No remarks	No remarks
1997-07-29	Sax2	C	0	1	48	1	No remarks	No remarks
1997-07-29	Sax2	D	0	0	50	0	No remarks	No remarks
1997-07-29	Sax3	A	0	0	50	2	No remarks	No remarks
