Date	Plot	Section	Buds	Flowers	Senescent	Field_remarks	General_remarks
1995-07-23	Sil4	A-D	59	54	8	No remarks	No remarks
1995-07-28	Sil4	A-D	22	47	88	No remarks	No remarks
1995-08-05	Sil4	A-D	0	44	210	No remarks	No remarks
1995-08-12	Sil4	A-D	0	2	250	No remarks	No remarks
1995-08-19	Sil4	A-D	0	0	100	No remarks	No remarks
1996-06-03	Sil4	A-D	0	0	0	No remarks	No remarks
1996-06-04	Sil2	A-D	0	0	0	No remarks	No remarks
1996-06-10	Sil1	A-B	0	0	0	No remarks	Plot enlarged in 1997
1996-06-10	Sil1	C-D	-9999	-9999	-9999	No remarks	Plot enlarged in 1997
1996-06-10	Sil2	A-D	0	0	0	No remarks	No remarks
1996-06-10	Sil3	A-D	0	0	0	No remarks	No remarks
1996-06-10	Sil4	A-D	0	0	0	No remarks	No remarks
1996-06-17	Sil1	A-B	98	57	0	No remarks	Plot enlarged in 1997
1996-06-17	Sil1	C-D	-9999	-9999	-9999	No remarks	Plot enlarged in 1997
1996-06-17	Sil2	A-D	93	33	0	No remarks	No remarks
1996-06-17	Sil3	A-D	0	0	0	No remarks	No remarks
1996-06-17	Sil4	A-D	0	0	0	No remarks	No remarks
1996-06-24	Sil1	A-B	67	144	21	No remarks	Plot enlarged in 1997
1996-06-24	Sil1	C-D	-9999	-9999	-9999	No remarks	Plot enlarged in 1997
1996-06-24	Sil2	A-D	29	103	11	No remarks	No remarks
1996-06-24	Sil4	A-D	0	0	0	No remarks	No remarks
1996-06-25	Sil3	A-D	125	14	0	No remarks	No remarks
1996-07-01	Sil1	A-B	2	55	68	No remarks	Plot enlarged in 1997
1996-07-01	Sil1	C-D	-9999	-9999	-9999	No remarks	Plot enlarged in 1997
1996-07-01	Sil2	A-D	32	67	63	No remarks	No remarks
1996-07-01	Sil3	A-D	74	97	8	No remarks	No remarks
1996-07-01	Sil4	A-D	0	0	0	No remarks	No remarks
1996-07-08	Sil1	A-B	0	0	100	No remarks	Plot enlarged in 1997
1996-07-08	Sil1	C-D	-9999	-9999	-9999	No remarks	Plot enlarged in 1997
1996-07-08	Sil2	A-D	0	26	98	No remarks	No remarks
1996-07-08	Sil3	A-D	0	98	99	No remarks	No remarks
1996-07-08	Sil4	A-D	0	0	0	No remarks	No remarks
1996-07-15	Sil2	A-D	0	1	99	No remarks	No remarks
1996-07-15	Sil3	A-D	0	0	100	No remarks	No remarks
1996-07-15	Sil4	A-D	100	0	0	No remarks	No remarks
1996-07-22	Sil2	A-D	0	0	100	No remarks	No remarks
1996-07-22	Sil4	A-D	104	27	0	No remarks	No remarks
1996-07-29	Sil4	A-D	33	96	14	No remarks	No remarks
1996-08-05	Sil4	A-D	14	63	60	No remarks	No remarks
1996-08-12	Sil4	A-D	3	10	124	No remarks	No remarks
